crc32,savetype_code,rtc,description
9d4f1e18,1,0,"007 - Everything or Nothing (Europe, USA)"
caf2e99f,1,0,007 - Everything or Nothing (Japan)
55ae4312,3,0,Apotris (v3.4.5)
56c83c16,1,0,"007 - NightFire (Europe, USA)"
50ab4544,1,0,"2006 FIFA World Cup - Germany 2006 (Europe, USA)"
8f3ff0e4,0,0,2K Sports - Major League Baseball 2K7 (USA)
fb7a7567,1,0,2 Games in 1: Dr. Mario & Puzzle League (Europe)
4c2b7349,1,0,"2 Games in One! - Dr. Mario + Puzzle League (USA, Australia)"
129bf78f,1,0,Dr. Mario & Panel de Pon (Japan)
36717b52,0,0,2 Games in One!: Gauntlet + Rampart (Europe)
5f255362,0,0,2 Games in One!: Gauntlet + Rampart (USA)
40da6c26,0,0,2 Games in One!: Marble Madness + Klax (Europe)
5da05880,0,0,2 Games in One!: Marble Madness + Klax (USA)
44e1761a,0,0,2 Games in One!: Paperboy + Rampage (Europe)
79fe9284,0,0,2 Games in One!: Paperboy + Rampage (USA)
bbf32ee3,0,0,2 Games in One!: Spy Hunter + Super Sprint (Europe)
ad2f5353,0,0,2 Games in One!: Spy Hunter + Super Sprint (USA)
628a8e32,0,0,3 Game Pack!: Candy Land - Chutes and Ladders - Original Memory Game (USA)
e6dc35a9,0,0,3 Game Pack!: The Game of Life - Payday - Yahtzee (USA)
20287753,0,0,3 Game Pack!: Mouse Trap - Simon - Operation (USA)
8b523ff7,0,0,3 Game Pack!: Ker Plunk! - Toss Across - Tip It (USA)
2af65e94,0,0,3 Games in One!: Breakout - Centipede - Warlords (Europe)
02e0cca4,0,0,3 Games in One!: Breakout - Centipede - Warlords (USA)
b6ef1ed0,0,0,3 Games in One!: Super Breakout - Millipede - Lunar Lander (Europe)
d191b56f,0,0,3 Games in One!: Super Breakout - Millipede - Lunar Lander (USA)
f42b4e70,0,0,3 Games in One!: Yars' Revenge - Asteroids - Pong (Europe)
dbd04637,0,0,3 Games in One!: Yars' Revenge - Asteroids - Pong (USA)
43f5e157,0,0,"Ace Combat Advance (Europe, USA)"
e94aafc9,1,0,Ace Lightning (Europe)
71720e98,1,0,Acrobat Kid (Japan)
d07214a2,0,0,Action Man - Robot Atak (Europe)
14a28d68,1,0,Activision Anthology (USA)
edcb7d46,2,0,Advance GT2 (Japan)
fdc82e98,3,0,Advance GTA (Japan)
2487b85b,1,0,Advance Guardian Heroes (Europe)
1527ca8c,1,0,Advance Guardian Heroes (Japan)
c501917f,1,0,Advance Guardian Heroes (USA)
86ed2599,3,0,Advance Rally (Japan)
66fb29e9,5,0,Advance Wars (Europe)
26fd0fc9,5,0,"Advance Wars (USA, rev. 1)"
dbef116c,5,0,Advance Wars (USA)
5a09aae6,5,0,Advance Wars 2 - Black Hole Rising (Europe)
5ad0e571,5,0,"Advance Wars 2 - Black Hole Rising (USA, Australia)"
5781acaf,3,0,Adventure of Tokyo Disney Sea (Japan)
d2ced674,0,0,"The Adventures of Jimmy Neutron vs Jimmy Negatron (Europe, USA)"
3690c0fd,0,0,Jimmy Neutron vs. Jimmy Negatron (Germany)
220ccf25,0,0,"Jimmy Neutron vs. Jimmy Negatron (Germany, prototype)"
d59d753b,1,0,"The Adventures of Jimmy Neutron Boy Genius - Attack of the Twonkies (Europe,
			USA)"
33816e51,1,0,Jimmy Neutron un Garcon Genial - L'Attaque des Twonkies (France)
67756000,0,0,"The Adventures of Jimmy Neutron Boy Genius - Jet Fusion (Europe, USA)"
6f3ea564,1,0,"Aero the Acro-Bat - Rascal Rival Revenge (Europe, prototype 20020327)"
beed50f0,0,0,"Aero the Acro-Bat - Rascal Rival Revenge (Europe, prototype earlier)"
a7e98ebe,1,0,Aero the Acro-Bat - Rascal Rival Revenge (Europe)
b47ac020,1,0,Aero the Acro-Bat - Rascal Rival Revenge (USA)
90d759e2,0,0,Agassi Tennis Generation (Europe)
8ba179b8,0,0,Agassi Tennis Generation (USA)
83bc2d2c,0,0,Agent Hugo - Roborumble (Europe)
bf553530,1,0,"AGB Aging Cartridge (World, version 1.0)"
bbb6a960,1,0,"AGB Aging Cartridge (World, version 7.0)"
2e69686d,1,0,"AGB Aging Cartridge (World, version 9.0)"
a2f6bcde,0,0,Aggressive Inline (Europe)
3a44fcd5,0,0,Aggressive Inline (USA)
36a0e152,3,0,L'Aigle de Guerre (France)
58a972df,1,0,AirForce Delta II (Japan)
ebf757b8,1,0,AirForce Delta Storm (USA)
b50cd166,2,0,Aka-chan Doubutsuen (Japan)
c1072e26,2,0,"Aka-chan Doubutsuen (Japan, rev. 1)"
f3e41d73,3,0,Akumajou Dracula - Circle of the Moon (Japan)
594fbb7c,1,0,Disney's Aladdin (Europe)
587f1aef,1,0,Disney's Aladdin (Japan)
40b383f6,1,0,Disney's Aladdin (USA)
e068728f,1,0,Aleck Bordon Adventure - Tower & Shaft Advance (Japan)
25e8e2cd,1,0,Alex Rider - Stormbreaker (Europe)
cca55dfd,1,0,Alex Rider - Stormbreaker (USA)
dff47236,1,0,Alien Hominid (Europe)
0d694ca4,0,0,"Alienators - Evolution Continues (Europe, USA)"
e9c9dd2b,1,0,"All Grown Up! - Express Yourself (Europe, USA)"
e30691fe,3,0,All-Star Baseball 2003 - Featuring Derek Jeter (USA)
d6106c26,3,0,"All-Star Baseball 2004 (USA, prototype earlier)"
6aa9b41e,3,0,"All-Star Baseball 2004 (USA, prototype)"
60e2db03,3,0,All-Star Baseball 2004 - Featuring Derek Jeter (USA)
654f7916,1,0,Altered Beast - Guardian of the Realms (Europe)
c4955f69,1,0,Altered Beast - Guardian of the Realms (USA)
d76ad62d,2,0,American Bass Challenge (USA)
698377d2,1,0,"Disney's American Dragon Jake Long - Rise of the Huntsclan! (Europe, USA)"
f053ffbf,0,0,American Idol (USA)
c8ea6d9e,0,0,An American Tail - Fievel's Gold Rush (Europe)
2a882ea6,0,0,An American Tail - Fievel's Gold Rush (USA)
da6555d8,2,0,Angel Collection - Mezase! Gakuen no Fashion Leader (Japan)
7b46d462,2,0,Angel Collection 2 - Pichimo ni Narou (Japan)
c9d41f35,2,0,Angelique (Japan)
89e6cd89,3,0,Animal Mania - Dokidoki Aishou Check (Japan)
25015475,0,0,Animal Snap - Rescue Them 2 by 2 (Europe)
7304dca4,0,0,Animal Snap - Rescue Them 2 by 2 (USA)
d53c9438,3,0,Animal Yokochou - Doki Doki Kyuushutsu Daisakusen! no Maki (Japan)
41b39214,3,0,Animal Yokochou - Doki Doki Shinkyuu Shiken! no Maki (Japan)
840d11c1,0,0,"Animaniacs - Lights, Camera, Action! (Europe)"
52dc386b,1,0,The Ant Bully (Europe)
8d51a101,1,0,The Ant Bully (USA)
367927ed,0,0,Antz - Extreme Racing (Europe)
f4efc5ed,0,0,Antz - Extreme Racing (USA)
ad9af125,1,0,Ao-Zora to Nakama-tachi - Yume no Bouken (Japan)
4202a9cd,0,0,Archer Maclean Presents Pool (USA)
81397ac0,0,0,Arctic Tale (USA)
6d174e28,0,0,Army Men - Operation Green (USA)
